"","city","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"25","agartala","10/04/1952","agartala, india","Kalinga Airlines","","Douglas C-47A",4,4,0,1,0,"The cargo plane crashed while en route after losing an engine and attempting an emergency landing.",1952,4,"Apr",NA,"Agartala",23.8354,91.28,"India","IN","IND","Tripura","admin",203264,1356148992
"26","agartala","19/10/1956","agartala, india","Indian Airlines","","Douglas DC-3",3,3,0,1,0,"The cargo plane crashed after an attempted go-around.",1956,10,"Oct",NA,"Agartala",23.8354,91.28,"India","IN","IND","Tripura","admin",203264,1356148992
"27","agra","22/02/1980","agra, india","Military - Indian Air Force","","Fairchild C-119G",47,46,1,0.98,1,"A bicyclist riding on the runway led the pilot to initiate a premature liftresulting in a stall. The plane was carrying paratroopers.",1980,2,"Feb",NA,"Agra",27.1704,78.015,"India","IN","IND","Uttar Pradesh","",1592000,1356187395
"28","agra","29/06/1969","agra, india","Military - Indian Air Force","","Fairchild C-119",14,14,0,1,0,"",1969,6,"Jun",NA,"Agra",27.1704,78.015,"India","IN","IND","Uttar Pradesh","",1592000,1356187395
"29","ajaccio","10/01/1923","ajaccio, france","Amee de l'Air","","Liorí©-et-Olivier H-13",4,3,1,0.75,0,"",1923,1,"Jan",NA,"Ajaccio",41.9271,8.7283,"France","FR","FRA","Corsica","admin",54364,1250622666
"30","ajaccio","21/01/1936","ajaccio, corsica, france","Air France","Marseille - Tunis","CAMS 53",6,6,0,1,0,"Vanished the coast of Corsica after sending a distress call that the engine had failed.",1936,1,"Jan",NA,"Ajaccio",41.9271,8.7283,"France","FR","FRA","Corsica","admin",54364,1250622666
"31","akron","04/11/1949","akron, ohio","Harrington's Inc","Philadelphia - Cleveland","Douglas DC-3",3,3,0,1,0,"The cargo plane collided with trees short of the runway while attempting to land. The improper execution of an instrument approach which resulted in the aircraft being flown to the right of the proper approach path at an altitude too low to clear the terrain.",1949,11,"Nov",NA,"Akron",41.0802,-81.5219,"United States","US","USA","Ohio","",565311,1840000791
"32","al bayda","02/12/1977","al bayda, lebanon","Balkan Bulgarian Airlines","Jeddah - Benghazi","Tupolev TU-154B",165,59,106,0.36,0,"After not being able to land at the scheduled airport due to fog, the crew could not find the alternate airport, ran out of fuel and crashed.",1977,12,"Dec",NA,"Al Bayda",13.979,45.574,"Yemen","YE","YEM","Al Bayá¸‘ÄÅâ€™","admin",37821,1887788283
"33","al fujayrah","14/03/1972","al fujayrah, united arab emirates","Sterling Airways","Colombo - Dubai","Aerospatiale Caravelle Super 10B",112,112,0,1,0,"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan.",1972,3,"Mar",NA,"Al Fujayrah",25.1234,56.3375,"United Arab Emirates","AE","ARE","Al Fujayrah","admin",94163,1784909196
"34","alamosa","04/10/2007","alamosa, colorado","SceniAir Tours","","Beechcraft King Air C90A",3,3,0,1,0,"During its descent at night and in poor weather conditions, the aircraft hit the Charleys Peak located 25 miles southeast from Alamosa. The aircraft was carrying one pilot, a flight paramediand a flight nurse to pick up a patient in Alamosa. The pilot's failure to maintain clearance from mountainous terrain. Contributing to the accident was the pilot's inadequate preflight planning, improper in-flight planning and decision making, the dark night, and the controller's failure to issue a safety alert to the pilot.",2007,10,"Oct",NA,"Alamosa",37.4755,-105.877,"United States","US","USA","Colorado","",11015,1840018921
"35","albacete","25/05/1948","albacete, spain","Alpha Airways","","Handley Page Halifax C-8",4,4,0,1,1,"Crashed on takeoff.",1948,5,"May",NA,"Albacete",39.0003,-1.87,"Spain","ES","ESP","Castille-La Mancha","minor",158094,1724000069
"36","albacete","18/01/1950","albacete, spain","Ejercito del Aire","","Junkers JU-52/3m",16,16,0,1,0,"The military plane crashed on the southeast coast of Spain.",1950,1,"Jan",NA,"Albacete",39.0003,-1.87,"Spain","ES","ESP","Castille-La Mancha","minor",158094,1724000069
"37","albany","03/03/1972","albany, new york","Mohawk Airlines","New York City - Albany, NY","Fairchild-Hiller FH-227-B",48,16,32,0.33,1,"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined.",1972,3,"Mar",NA,"Albany",-35.0169,117.8916,"Australia","AU","AUS","Western Australia","",26445,1036047365
"38","albany","16/09/1953","albany, new york","American Airlines","Boston - Hartford - Albany - Chicago","Convair CV-240-0",28,28,0,1,0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog. Crew's failure to abandon the landing under adverse weather conditions.",1953,9,"Sep",NA,"Albany",-35.0169,117.8916,"Australia","AU","AUS","Western Australia","",26445,1036047365
"39","albuquerque","14/09/1977","albuquerque, new mexico","Military - U.S. Air Force","Kirkland AFB - Nellis AFB","Boeing - EC-135K",20,20,0,1,0,"Crashed into a mountain peak in the Manzano range shortly after taking and making a right bank. The aircraft was observed flying too low and did not heed the controller's warnings. Fatigue may have played a part in the accident.",1977,9,"Sep",NA,"Albuquerque",35.1055,-106.6476,"United States","US","USA","New Mexico","",759517,1840019176
"40","albuquerque","03/11/1973","albuquerque,  new mexico","National Airlines","Miami, FL - San Francisco, CA","McDonnell Douglas DC-10-10",128,1,127,0.01,0,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger was sucked out of the plane.  The plane landed safely. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine.",1973,11,"Nov",NA,"Albuquerque",35.1055,-106.6476,"United States","US","USA","New Mexico","",759517,1840019176
"41","albuquerque","07/02/1967","albuquerque, new mexico","Avanti Aviation -Air Taxi","","Cessna 210-5A",2,2,0,1,0,"Pilot misjudged altitude and distance and crashed into a mountain at 8,800 ft. Pilot tested positive for alcohol.",1967,2,"Feb",NA,"Albuquerque",35.1055,-106.6476,"United States","US","USA","New Mexico","",759517,1840019176
"42","albuquerque","06/05/1951","albuquerque, new mexico","Military - U.S. Air Force","","Convair B-36D",25,23,2,0.92,0,"The aircraft crashed while attempting to land at Kirkland AFB in gusty winds. The pilot appeared to have difficulty keeping the wings level. The plane crossed the threshold left of the center line. When the pilot corrected, the right starboard jet pod and No. 6 propeller struck the runway. The pilot attempted a go-around with the No.6 engine afire but crashed to earth bursting into flames.",1951,5,"May",NA,"Albuquerque",35.1055,-106.6476,"United States","US","USA","New Mexico","",759517,1840019176
"43","albuquerque","19/02/1955","albuquerque, new mexico","Trans World Airlines","Albuquerque - Sante Fe","Martin 404",16,16,0,1,0,"After taking from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to 'deviation from course for reasons unknown' and admitted there may have been a problem with the flux gauge compass.",1955,2,"Feb",NA,"Albuquerque",35.1055,-106.6476,"United States","US","USA","New Mexico","",759517,1840019176
"44","albuquerque","19/05/1972","albuquerque, new mexico","Ross Aviation - Air Taxi","Albuquerque, NM - Sante Fe, NM","Beechcraft 65-B80",9,9,0,1,0,"Forward cargo door was not secured, opened in flight. Cargo damaged left propeller. Open door created extra drag. Pilot lost control and crashed.",1972,5,"May",NA,"Albuquerque",35.1055,-106.6476,"United States","US","USA","New Mexico","",759517,1840019176
"45","aldan","26/08/1993","aldan, russia","Sakha Airlines","","Let 410UVP-E",24,24,0,1,0,"A sudden pitch-up during approach led the crew to go-around.  The pitch-up continued until the plane stalled and crashed.  Improperly loaded baggage shifted the center of gravity beyond the acceptable limit.",1993,8,"Aug",NA,"Aldan",58.603,125.3894,"Russia","RU","RUS","Sakha (Yakutiya)","",24426,1643237106
"46","aleppo","06/02/1967","aleppo, syria","Syrian Arab Airlines","","Douglas DC-3",19,1,18,0.05,0,"Crashed into building while landing.",1967,2,"Feb",NA,"Aleppo",36.23,37.17,"Syria","SY","SYR","á¸¨alab","admin",2738000,1760366651
"47","aleppo","24/02/1956","aleppo, syria","Syrian Airways","","Douglas DC-3",19,19,0,1,0,"Crashed shortly after taking 15 miles from Damascus.  Double engine failure during a thunderstorm.",1956,2,"Feb",NA,"Aleppo",36.23,37.17,"Syria","SY","SYR","á¸¨alab","admin",2738000,1760366651
"48","alexander city","17/04/1995","alexander city, alabama","Military - U.S. Air Force","Camp Springs, MD - San Antonio, TX","Learjet C-21A",8,8,0,1,0,"Experienced an emergency aboard while en route and crashed.",1995,4,"Apr",NA,"Alexander City",32.924,-85.9353,"United States","US","USA","Alabama","",9335,1840013788
"49","alexandria","31/12/1935","alexandria, egypt","Imperial Airways","Mirabella - Alexandria","Short Calcutta",13,12,1,0.92,0,"The aircraft ran out of fuel and crashed Alexandria. The plane was named 'The City of Khartoum.'",1935,12,"Dec",NA,"Alexandria",43.9016,25.2867,"Romania","RO","ROU","Teleorman","admin",49346,1642953190
"50","alexandria","05/11/1978","alexandria, egypt","Nile Delta Air Services","","Douglas DC-3",18,18,0,1,0,"Crashed into the ocean.",1978,11,"Nov",NA,"Alexandria",43.9016,25.2867,"Romania","RO","ROU","Teleorman","admin",49346,1642953190
"51","algiers","31/12/1970","algiers, algeria","Rousseau Aviaiton","Algiers - Menorca","Nord 262E",31,31,0,1,0,"Ditched in the ocean. Mayday received. No trace of the plane ever found.",1970,12,"Dec",NA,"Algiers",36.7631,3.0506,"Algeria","DZ","DZA","Alger","primary",3354000,1012973369
"52","algiers","08/04/1957","algiers, algeria","Air France","","Douglas DC-3",34,34,0,1,0,"Crashed just after takeoff, one mile from the airfield. Engine failure.",1957,4,"Apr",NA,"Algiers",36.7631,3.0506,"Algeria","DZ","DZA","Alger","primary",3354000,1012973369
"53","algiers","22/05/1929","algiers","Aeropostale","","Cams 53",5,4,1,0.8,0,"",1929,5,"May",NA,"Algiers",36.7631,3.0506,"Algeria","DZ","DZA","Alger","primary",3354000,1012973369
"54","algiers","09/12/1931","algiers","Aeropostale","","CAMS 56",2,2,0,1,0,"",1931,12,"Dec",NA,"Algiers",36.7631,3.0506,"Algeria","DZ","DZA","Alger","primary",3354000,1012973369
"55","algiers","10/01/1933","algiers","Aeropostale","","CAMS 53",1,1,0,1,0,"",1933,1,"Jan",NA,"Algiers",36.7631,3.0506,"Algeria","DZ","DZA","Alger","primary",3354000,1012973369
"56","algiers","02/05/1927","algiers, algeria","Air Union","","SPCA Meteore 63",3,1,2,0.33,0,"",1927,5,"May",NA,"Algiers",36.7631,3.0506,"Algeria","DZ","DZA","Alger","primary",3354000,1012973369
"57","alicante","25/04/1925","alicante, spain","Grands Express Aeriens","","Breguet 14",4,4,0,1,0,"",1925,4,"Apr",NA,"Alicante",38.3512,-0.4836,"Spain","ES","ESP","Valencia","minor",315863,1724923163
"58","alicante","25/05/1925","alicante, spain","Lignes Aeriennes Latecoere","","Breguet 14",2,2,0,1,0,"",1925,5,"May",NA,"Alicante",38.3512,-0.4836,"Spain","ES","ESP","Valencia","minor",315863,1724923163
"59","alicante","26/06/1925","alicante, spain","Grands Express Aeriens","","Liorí©-et-Olivier H-13",2,2,0,1,0,"",1925,6,"Jun",NA,"Alicante",38.3512,-0.4836,"Spain","ES","ESP","Valencia","minor",315863,1724923163
"60","alice springs","27/04/1995","alice springs, australia","IAI 1124 Westwind","Tindal - Alice Springs","Pel Air",3,3,0,1,0,"The aircraft struck high ground while attempting to land at Alice Springs after descending below mimimum descent altitude.",1995,4,"Apr",NA,"Alice Springs",-23.701,133.88,"Australia","AU","AUS","Northern Territory","",27710,1036830397
"61","aliquippa","08/09/1994","aliquippa, pennsylvania","USAir","Chicago - Pittsburgh","Boeing B-737-3B7",132,132,0,1,0,"While on approach, the aircraft went into a sudden nose dive from 6,000 ft. and crashed into a wooded ravine 6 miles northwest of Pittsburgh International Airport. The accident was caused by a loss of control of the aircraft resulting from the movement of the rudder surface to its blowdown limit or an uncommanded rudder reversal. The rudder surface deflected in a direction opposite to that commanded by the pilots as a result of a jam of the main rudder PCU servo valve secondary slide to the servo valve housing offset from its neutral position and overtravel of the  primary slide. The most likely sequence of events that led up to the accident included the jamming of the PCU servo valve, the application of light left rudder followed by hard right rudder which caused the rudder to reverse in the opposite direction the pilot commanded it to go.  The application of hard right rudder was possibly initiated because the plane flew into the wake vortex of a B-727 which rolled the plane to the left.  Rudder hardover is normally corrected with the stick (ailerons) but because the plane was flying at the crossover speed of 190 knots with flaps 1, using the stick would not correct the situation. When the right rudder was applied the rudder went to its fullblown left position causing the plane to roll further left, stall and go into a dive. Some speculate if the pilot-in-command pushed forward on the yoke to gain some speed rather than pull back, the accident possibly could have been avoided. Blame was not placed on the crew because there was no mention of this type of recovery by the manufacturer nor was there any training for such an occurrence.",1994,9,"Sep",NA,"Aliquippa",40.6155,-80.2548,"United States","US","USA","Pennsylvania","",9102,1840001009
"62","alma","30/03/1959","alma, georgia","Riddle Airlines","Orlando, FL - Atlanta, GA","Curtiss C-46A",2,2,0,1,0,"The cargo plane lost control after a fire broke out in the cargo hold.",1959,3,"Mar",NA,"Alma",35.4914,-94.2183,"United States","US","USA","Arkansas","",5672,1840013420
"63","alma","15/03/2002","alma, wisconsin","Priorty Air Charter","Minneapolis - Detroit","Cessna 208B Caravan I Super Cargomaster",1,1,0,1,0,"After encountering icing, the pilot of the cargo plane decided to divert to the nearest airport but continued to lose altitude until he crashed into trees. The pilot not removing the ice contamination from the airplane prior to departure and the pilot intentionally flying into known severe icing conditions, resulting in the aircraft not being able to maintain altitude/clearance from the terrain. Factors to the accident included the icing conditions and the trees encountered during the forced landing.",2002,3,"Mar",NA,"Alma",35.4914,-94.2183,"United States","US","USA","Arkansas","",5672,1840013420
"64","almaty","06/03/1987","almaty, kazakhstan","Aeroflot","","Antonov An-26",9,9,0,1,0,"The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.",1987,3,"Mar",NA,"Almaty",43.325,76.915,"Kazakhstan","KZ","KAZ","Almaty","admin",1209000,1398351701
"65","alpena","26/09/1976","alpena, michigan","Military - U.S. Air Force","","Boeing KC-135A",20,15,5,0.75,0,"Flew into high terrain.",1976,9,"Sep",NA,"Alpena",45.0745,-83.4383,"United States","US","USA","Michigan","",13767,1840003947
"66","alpena","13/03/1986","alpena, michigan","Simmons Airlines","Detroit, MI - Alpena, MI","Embraer 110P1 Bandeirante",9,3,6,0.33,0,"After a missed approach due to bad weather, the plane was cleared for an ILS approach but crashed in a wooded area, short of the runway. The flight crew's continued descent of the airplane below the glideslope and through the published decision height without obtaining visual reference of the runway for undetermined reasons.",1986,3,"Mar",NA,"Alpena",45.0745,-83.4383,"United States","US","USA","Michigan","",13767,1840003947
"67","altamira","06/06/1990","altamira, brazil","TABA","Belem - Altamira","Fairchild FH-227B",42,23,19,0.55,0,"The pilot,, switched to VFR in IFR conditions, struck trees 1 km short of runway in heavy ground fog. Pilot error.",1990,6,"Jun",NA,"Altamira",-3.1996,-52.21,"Brazil","BR","BRA","ParÃ¡","",70888,1076710878
"68","altus","06/02/1985","altus, oklahoma","Air Taxi - Oklahoma Airways Inc.","Altus, OK - Oklahoma City, OK","Cessna 402B",2,2,0,1,0,"A witness saw smoke & fire trailing from the vicinity of the l eng. He stated that the aircraft's nose came up, the plane rolled to the left, then it entered a steep, nose down, inverted attitude just before it crashed & burned. Total failure of the exhaust manifold system. Inadequate inspection/maintenance.",1985,2,"Feb",NA,"Altus",34.6566,-99.3051,"United States","US","USA","Oklahoma","",19246,1840019202
"69","amarillo","30/12/1929","amarillo, texas","Trans Continental Air Transport","","Travel Air B6000",5,5,0,1,0,"Crashed on approach onto a golf course.",1929,12,"Dec",NA,"Amarillo",35.1999,-101.8297,"United States","US","USA","Texas","",205821,1840019156
"70","amarillo","14/12/1932","amarillo, texas","Trans Continental and Air","","Ford 5",2,2,0,1,0,"The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.",1932,12,"Dec",NA,"Amarillo",35.1999,-101.8297,"United States","US","USA","Texas","",205821,1840019156
"71","ambato","06/04/1994","ambato, ecuador","TAME","Taura - Latacunga","de Havilland Canada DHC-6 Twin Otter 300",17,17,0,1,0,"Struck Mt. Lozan, at 13,400 ft. which was obscured by clouds 47 minutes after taking off.",1994,4,"Apr",NA,"Ambato",-1.2696,-78.62,"Ecuador","EC","ECU","Tungurahua","admin",281425,1218046148
"72","amman","09/09/1956","amman, jordan","Jordan International Airlines","","Curtiss C-46A-45-CU",57,1,56,0.02,0,"The aircraft had to return to Amman for an emergency landing. The landing took place with the gear retracted. The plane bounced, went up a hill and down the other side and burst into flames.",1956,9,"Sep",NA,"Amman",31.95,35.9333,"Jordan","JO","JOR","Al â€˜Ä€ÅŸimah","primary",1060000,1400522593
"73","amman","30/06/1973","amman, jordan","Aeroflot","Amman, Jordan - Beiruit, Lebanon - Yerevan, Armenia","Tupolev TU-134A",84,5,79,0.06,3,"The aircraft was not able to lift during takeoff, overshot the runway and crashed into a house bursting into flames.",1973,6,"Jun",NA,"Amman",31.95,35.9333,"Jordan","JO","JOR","Al â€˜Ä€ÅŸimah","primary",1060000,1400522593
"74","amman","02/01/1984","amman, jordan","Military - Royal Jordanian Air Force","","CASA 212-A3 Aviocar 100",13,13,0,1,0,"Crashed due to mechanical problems.",1984,1,"Jan",NA,"Amman",31.95,35.9333,"Jordan","JO","JOR","Al â€˜Ä€ÅŸimah","primary",1060000,1400522593
"75","amritsar","24/12/1999","amritsar, india / kandahar, afghanistan","Indian Airlines","Kathmandu - New Delhi","Airbus A300B2-101",189,1,188,0.01,0,"The plane was hijacked and subsequently flown to Amritsar, India, Lahore, Pakistan, al-Minhar Air Base, Dubai and Kandahar, Afghanistan. The hijacking lasted 7 days. One crewmember was killed.",1999,12,"Dec",NA,"Amritsar",31.64,74.87,"India","IN","IND","Punjab","",1212000,1356926507
