"","City","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","Latitude","Longitude"
"29","albuquerque","19/02/1955","albuquerque, new mexico","Trans World Airlines","Albuquerque - Sante Fe","Martin 404",16,16,0,1,0,"After taking from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to 'deviation from course for reasons unknown' and admitted there may have been a problem with the flux gauge compass.",1955,2,"Feb",NA,-12.054203,15.209178
"30","albuquerque","19/05/1972","albuquerque, new mexico","Ross Aviation - Air Taxi","Albuquerque, NM - Sante Fe, NM","Beechcraft 65-B80",9,9,0,1,0,"Forward cargo door was not secured, opened in flight. Cargo damaged left propeller. Open door created extra drag. Pilot lost control and crashed.",1972,5,"May",NA,-12.054203,15.209178
"31","albuquerque","06/05/1951","albuquerque, new mexico","Military - U.S. Air Force","","Convair B-36D",25,23,2,0.92,0,"The aircraft crashed while attempting to land at Kirkland AFB in gusty winds. The pilot appeared to have difficulty keeping the wings level. The plane crossed the threshold left of the center line. When the pilot corrected, the right starboard jet pod and No. 6 propeller struck the runway. The pilot attempted a go-around with the No.6 engine afire but crashed to earth bursting into flames.",1951,5,"May",NA,-12.054203,15.209178
"32","alencon","08/03/1962","alencon, france","Military - U.S. Air Force","Training exercise","Lockheed C-130A Hercules",15,15,0,1,0,"The transport was taking part in a parachute drop mission with five other aircraft when it crashed.",1962,3,"Mar",NA,48.434758,0.093111
"33","alice springs","27/04/1995","alice springs, australia","IAI 1124 Westwind","Tindal - Alice Springs","Pel Air",3,3,0,1,0,"The aircraft struck high ground while attempting to land at Alice Springs after descending below mimimum descent altitude.",1995,4,"Apr",NA,-23.697479,133.883621
"34","alma","15/03/2002","alma, wisconsin","Priorty Air Charter","Minneapolis - Detroit","Cessna 208B Caravan I Super Cargomaster",1,1,0,1,0,"After encountering icing, the pilot of the cargo plane decided to divert to the nearest airport but continued to lose altitude until he crashed into trees. The pilot not removing the ice contamination from the airplane prior to departure and the pilot intentionally flying into known severe icing conditions, resulting in the aircraft not being able to maintain altitude/clearance from the terrain. Factors to the accident included the icing conditions and the trees encountered during the forced landing.",2002,3,"Mar",NA,36.078944,68.320823
"35","alma","30/03/1959","alma, georgia","Riddle Airlines","Orlando, FL - Atlanta, GA","Curtiss C-46A",2,2,0,1,0,"The cargo plane lost control after a fire broke out in the cargo hold.",1959,3,"Mar",NA,36.078944,68.320823
"36","altamira","06/06/1990","altamira, brazil","TABA","Belem - Altamira","Fairchild FH-227B",42,23,19,0.55,0,"The pilot,, switched to VFR in IFR conditions, struck trees 1 km short of runway in heavy ground fog. Pilot error.",1990,6,"Jun",NA,-34.666598,-59.369154
"37","alto da boa vista","15/09/2005","alto da boa vista, brazil","Viaí_ao Cometa","Rio de Janeiro - Jacarepagua","Cessna 525 CitationJet I",2,2,0,1,0,"The aircraft, on a positioning flight,  crashed in a wooded area shortly after taking off.",2005,9,"Sep",NA,-22.96519,-43.276055
"38","alvarado","20/03/1953","alvarado, california","Transocean Air Lines","Roswell - Oakland - Guam","Douglas DC-4  (C-54-10-DO)",35,35,0,1,0,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomibombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown.",1953,3,"Mar",NA,-24.85,-65.466667
"39","amalfi","01/06/1946","amalfi, italy","Military - U.S. Army Air Forces","Cairo - Rome","Douglas C-54-DO (DC-4)",38,30,8,0.79,0,"A fire of undetermined origin erupted in the cockpit. The crew  was unable to control the smoke and flames, lost control and the aircraft and crashed. Eight aboard parachuted to safety.",1946,6,"Jun",NA,6.910163,-75.077644
"40","ambato","06/04/1994","ambato, ecuador","TAME","Taura - Latacunga","de Havilland Canada DHC-6 Twin Otter 300",17,17,0,1,0,"Struck Mt. Lozan, at 13,400 ft. which was obscured by clouds 47 minutes after taking off.",1994,4,"Apr",NA,4.236867,-74.900131
"41","amsterdam","04/10/1992","amsterdam, netherlands","El Al","Amsterdam - Tel Aviv","Boeing B-747-258F",4,4,0,1,47,"Shortly after taking from Schiphol Airport, while climbing through 6,500 feet, the No. 3 engine separated with its pylon from the aircraft and damaged the leading edge of the right wing. The No. 3 engine separated in such a way that the No. 4 engine and pylon also separated from the wing. During an attempted return to the airport, the aircraft crashed into a 11 story building in the Bijlmermeer residential district. The design and certification of the B-747 pylon was found to be inadequate to provide the required level of safety. The system to ensure structural integrity by inspection failed. The separation of the No. 3 engine was initiated by fatigue (corrosion) in the inboard midspar fuse pin. This led to loss of the No. 4 engine and pylon and damage to several systems which ultimately led to loss of control of the aircraft.",1992,10,"Oct",NA,4.977825,-73.903241
"42","amsterdam","09/12/1938","amsterdam, netherlands","KLM Royal Dutch Airlines","Instructional Flight","Lockheed 14-WF62 Super Electra",4,4,0,1,0,"Struck a dyke Schiphol Airport and caught fire while taking off.",1938,12,"Dec",NA,4.977825,-73.903241
"43","amsterdam","14/09/1986","amsterdam, netherlands","Kondair","London - Amsterdam","Britten-Norman BN-2A Trislander",1,1,0,1,0,"The pilot, lacking experience overcorrected a movement in responding to windshear and couldn't  retain control when the aircraft entered a spiral dive as a result of the overcorrection.",1986,9,"Sep",NA,4.977825,-73.903241
"44","amsterdam","25/05/1953","amsterdam, netherlands","KLM Royal Dutch Airlines","Amsterdam - Paris","Convair CV-240-4",34,0,34,0,2,"While taking the plane reached a height of about  50 ft. after which flaps were retracted. The plane began to lose height and crash landed into a meadow. While no one on the plane died, two girls on a bicycle path were killed.",1953,5,"May",NA,4.977825,-73.903241
"45","amsterdam","14/11/1946","amsterdam, netherlands","KLM Royal Dutch Airlines","London - Amsterdam","Douglas C-47A-90 DL (DC-3)",26,26,0,1,0,"The flight crashed during a third landing attempt in inclement weather. The pilot, not lined up with the runway, made a sharp left turn. The wing hit the ground and the aircraft exploded in flames.",1946,11,"Nov",NA,4.977825,-73.903241
"46","amsterdam","25/02/2009","amsterdam, netherlands","Turkish Airlines","Istanbul, Turkey - Amsterdam, Netherlands","Boeing 737-8F2",134,9,125,0.07,0,"The plane was on final approach to Runway 18R when it crashed 1 mile short of the runway into a field and broke in three. Nine people were killed and 55 injured. Preliminary indications show a false reading from a faulty altimeter caused an autopilot to sharply slow the jet, landing short of the runway",2009,2,"Feb",NA,4.977825,-73.903241
"47","amsterdam","04/04/1994","amsterdam, netherlands","KLM Cityhopper","Amsterdam - Cardiff","Saab 340B",24,3,21,0.13,0,"Shortly after taking off, the plane experienced engine problems and returned to the airport. While attempting to land the aircraft rolled to the right, pitched up, stalled and cashed. Inadequate use of the flight controls during an asymmetrigo-around resulting in loss of control. Contributing factors were insufficient understanding of the flightcrew of the SAAB 340B engine oil system, lack of awareness of the consequences of an aircraft configuration with one engine in flight idle and poor crew resource management.",1994,4,"Apr",NA,4.977825,-73.903241
"48","amsterdam","14/07/1935","amsterdam, netherlands","KLM Royal Dutch Airlines","Amsterdam - Sweden","Fokker F-XXII",20,6,14,0.3,0,"The plane lost altitude while attempting an emergency landing after taking and losing an engine. The wing hit a dyke and the plane burst into flames.",1935,7,"Jul",NA,4.977825,-73.903241
"49","angola","02/09/1998","angola","Permaviatrans","","Antonov AN-26",24,24,0,1,0,"Shot down by UNITA rebels 30 minutes after taking off.",1998,9,"Sep",NA,-14.133333,14.5
"50","antilla","08/08/1944","antilla, cuba","Pan American World Airways","Antilla - Miami","Sikorsky S-42 (flying boat)",31,17,14,0.55,0,"Crashed during the third attempt to lift from the water and sank into the ocean. Loss of control due to the captain's inexperience in handling the particular type of aircraft. The aircraft was named 'Hong Kong Clipper.'",1944,8,"Aug",NA,-26.118431,-64.593793
"51","apolo","12/12/1979","apolo, bolivia","CAMBA","","Martin 404",11,10,1,0.91,0,"",1979,12,"Dec",NA,-14.7166667,-68.4166667
"52","aracaju","12/07/1951","aracaju, brazil","Loide Aereo Nacional","Maceio - Aracaju","Douglas DC-3",33,33,0,1,0,"Crashed during a landing attempt in adverse weather conditions under VFR and hit high ground. The pilot attempted a visual approach and made a turn at low altitude in adverse weather conditions.",1951,7,"Jul",NA,-10.916667,-37.066667
"53","arbucias","03/07/1970","arbucias, gerona, spain","Dan Air Services","Manchester - Barcelona","de Havilland Comet 4",112,112,0,1,0,"Due to heavy traffic, the flight was diverted from the planned route. The aircraft failed to follow the assigned airway and crashed into a cloud obscured Montseny Mountain while on approach. The deviation from the assigned airway may have been caused by malfunctioning equipment. In addition, the ATC did not realize the aircraft was deviating from its assigned course.",1970,7,"Jul",NA,41.815739,2.515382
"54","ardmore","22/04/1966","ardmore, oklahoma","American Flyers Airline","Monterey - Ardmore","Lockheed 188C Electra",98,83,15,0.85,0,"The aircraft crashed into foothills during landing attempt at Ardmore Municipal Airport . During the approach in rain and fog, the captain made a last-minute change in his choice of runways. One minute later the plane crashed into high ground. Incapacitation of the captain with a heart attack during final stages of approach.  The captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records.",1966,4,"Apr",NA,54.332222,-110.477222
"55","arequipa","29/02/1996","arequipa, peru","Compania de Aviacion Faucett SA (Peru)","Lima - Arequipa","Boeing B-737-222",123,123,0,1,0,"The aircraft crashed into a hillside several miles from the airport while attempting to land. The pilot reported flying at 9,500 ft. when the aircraft was actually flying 8,640 ft. Controlled flight into terrain.",1996,2,"Feb",NA,-12.3666667,-66.2833333
"56","ariab","07/06/1993","ariab, sudan","Sasco Air Lines","","Cessna 404 Titan",11,11,0,1,0,"Lost the right engine on takeoff. The pilot returned to the airport and landed with the landing gear retracted. During the slide the left wing struck a rock and ruptured causing the plane to burst into flames.",1993,6,"Jun",NA,37.343359,71.456119
"57","arica","17/06/1971","arica, chile","SAVCO","Santa Cruz - Arica","Douglas DC-6",6,6,0,1,0,"The aircraft struck Putre Mountain at an altitude of 18,000 feet.  Improper flight planning for IMC weather.",1971,6,"Jun",NA,-9.7666667,-65.8833333
"58","armstrong","06/02/1941","armstrong, on, canada","Trans Canada Air Lines","","Lockheed 14-H2 Super Electra",12,12,0,1,0,"The plane crashed after the right wing struck a tree as the pilot was attempting to land. Struck several other trees and landed inverted in a swamp.",1941,2,"Feb",NA,-32.782147,-61.602225
"59","artigas","10/02/1978","artigas, uruguay","Military - Uruguayan Air Force","Artigas - Montevideo","Douglas C-47A-DL",44,44,0,1,0,"The passenger flight attempted to make an emergency landing at Artigas Airport when it had taken from.  An engine failure was followed by a wide banking turn and crash to the ground bursting into flames.",1978,2,"Feb",NA,43.399857,-2.726373
"60","aru","04/10/2005","aru, democratirepublicogo","Wimbi Dira Airways","Kisangani - Bunia","Antonov 12V",100,2,98,0.02,0,"The aircraft carrying troops made a hard landing causing the landing gear to penetrate the fuselage. Two passengers were killed when they exited the plane and ran into the propellers which were still turning.",2005,10,"Oct",NA,0.65,-67.233333
"61","ashford","02/07/1990","ashford, washington","Air Taxi - Aero West Aviation Inc.","Aurora, OR - Penticton, Canada","Cessna T210L",5,5,0,1,0,"Crashed into Mt. Rainier at 12,700 ft. in poor visibility while en route. Continued VFR flight into IMC.",1990,7,"Jul",NA,-29.321911,151.093079
"62","atar","26/05/1952","atar, mauritania","British Overseas Airways","Tripoli - Kano","Handley Page HP-81 Hermes IV",18,1,17,0.06,0,"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopicompass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopicompass in the place of the magneticompass which was inoperative. The aircraft was named 'Horus.'",1952,5,"May",NA,-2.6833333,-78.8833333
"63","aubusson","07/11/1996","aubusson, france","Jetcom S.A.","Geneva - Bordeaux","Cessna 421C Golden Eagle",8,8,0,1,0,"The pilot reported that an engine failed just as he started to descend for a landing. He later informed ATC he could not feather the propeller. The  aircraft subsequently crashed and burned in a field.  The accident was due to inappropriate management of the flight following jamming of the propeller in an intermediate position after the right engine crankshaft ruptured. The inappropriate management was due to the pilotäó»s relative lack of experience on this aircraft type, his false notions about the aircraftäó»s performance and about the existence of a flight level to maintain level flight with an unfeathered propeller and an heavy aircraft and a series of misjudged strategies to attempt to continue the flight then to land at Limoges when the aircraftäó»s altitude no longer made this possible.",1996,11,"Nov",NA,45.75507,3.617966
"64","augusta","07/08/1993","augusta, georgia","Air Taxi - Air Medical Leasing","","Beechcraft C-90",4,4,0,1,0,"The pilot's failure to adequately evaluate inflight weather conditions which resulted in a loss of control when the airplane encountered a thunderstorm.",1993,8,"Aug",NA,-34.315659,115.159218
"65","augusta","19/08/1971","augusta, maine","Downeast Airlines","Boston, MA - Rockville, ME diverted to  Augusta ME","Piper PA-31",8,3,5,0.38,0,"Crashed in dense fog while making an approach to Agusta State Airport. Discontinue VOR approach, attempted to maintain visual flight in IFR conditions at an altitude below obstructing terrain.",1971,8,"Aug",NA,-34.315659,115.159218
"66","aulnay-sous-bois","18/12/1949","aulnay-sous-bois, france","Sabena","","Douglas C-47A-60-DL",8,8,0,1,0,"Crashed after the wing failed during takeoff.",1949,12,"Dec",NA,48.938138,2.494022
"67","avalon","22/02/1981","avalon, california","Helicopter - Air Taxi","San Pedro, CA - Avalon, CA","Sikorsky S-62A",8,2,6,0.25,0,"The main rotor disk failed from a fatigue fracture while attempting to land.",1981,2,"Feb",NA,-33.633333,151.333333
"68","avalon","14/04/1979","avalon, california","Catalina Airlines","San Pedro, CA - Catalina, CA","Grumman G-21 Goose",11,1,10,0.09,0,"During an attempted go-around, the plane struck boat wakes and crashed. One passenger drowned.",1979,4,"Apr",NA,-33.633333,151.333333
"69","avalon","28/05/1981","avalon, california","Shanair Inc. - Air Taxi","Avalon, CA - Visalia, CA","Beechcraft 58",3,2,1,0.67,0,"After taking the plane circled three time at a low altitude. On the third pass the aircraft experienced a slow roll, the nose dropped and the plane crashed into the water. Unwarranted low flying. Misjudged speed and exercised poor judgment.",1981,5,"May",NA,-33.633333,151.333333
"70","ayr","14/08/1941","ayr, scotland","Military - Royal Air Force","","Consolidated LB-30A Liberator",22,22,0,1,0,"Crashed and burned on takeat Heathfield airfield, after veered the runway and striking a small building and then an embankment.",1941,8,"Aug",NA,-19.573931,147.406662
"71","azul","19/07/1961","azul, argentina","Aerolineas Argentinas","Buenos Aires - Comodoro","Douglas DC-6",67,67,0,1,0,"The aircraft disintegrated in flight following the application of loads in excess of the design loads. The aircraft entered an area of extreme turbulence and was struck by lightning.",1961,7,"Jul",NA,-9.295627,14.919944
"72","bagdad","27/11/1938","bagdad, iraq","Imperial Airways","","Short Empire Flying Boat",6,4,2,0.67,0,"The flying boat crashed on Lake Ramadi.",1938,11,"Nov",NA,34.217683,67.887872
"73","bage","07/04/1957","bage, brazil","Varig","","Curtiss C-46A-45-CU",40,40,0,1,0,"Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs.",1957,4,"Apr",NA,43.4722222,17.2930556
"74","baghran","21/09/1989","baghran, afghanistan","Military - Afghan Republican Air Force","","Mil Mi-17 ( helicopter)",24,24,0,1,0,"",1989,9,"Sep",NA,33.008843,64.966643
"75","bagram","27/11/2004","bagram, afghanstan","Presidental Airways Inc. - Air Taxi","Bagram - Farah, Afghanstan","CASA 212-CC",6,6,0,1,0,"Crashed into a mountain 80 miles west of Bagram while en route. The wreckage site was located a the 14,000 ft. level of a 16,739 ft. mountain. The crew deliberately avoided the standard route and took a joy ride in another direction, eventually becoming trapped in a canyon and slamming into a mountainside.",2004,11,"Nov",NA,34.966944,69.265
"76","baguio","19/12/1950","baguio, philippines","Military - U.S. Air Force","Naha AB - Clark AB","Douglas C54E-DO (DC-4)",38,38,0,1,0,"Proceeding on instruments, the aircraft crashed into Mt. Tabayowhile en route.  Navigation error.",1950,12,"Dec",NA,43.418309,-2.81317
"77","baguio","30/03/1952","baguio, philippines","Philippine Air Lines","","Douglas DC-3",29,10,19,0.34,0,"Crashed during takeoff.",1952,3,"Mar",NA,43.418309,-2.81317
"78","baguio","26/06/1987","baguio, philippines","Philippine Air Lines","Manila - Baguio","Hawker Siddeley HS-748-209 Srs. 2",50,50,0,1,0,"The aircraft crashed into Mt. Ugu in monsoon rains and heavy fog while preparing to land at Baguio.",1987,6,"Jun",NA,43.418309,-2.81317
"79","bainbridge","17/12/1984","bainbridge, new york","Air Taxi - Delaware Aviation LLC","Binghamton, NY - Bainbridge, NY","PA-23-250",4,4,0,1,0,"VFR conditions prevailed when the fight departed. The destination was reported as clear until just prior to the estimated time of arrival, then fog began to form. Witnesses who heard the aircraft, just prior to the accident, reported heavy fog. After making an approach to Rwy 7, the aircraft turned to a heading of about 220 deg, then collided with trees on a wooded hill, .85 mi north of the airport. Continued VFR flight into adverse weather conditions.",1984,12,"Dec",NA,49.316667,-124.85
"80","baku","30/11/1995","baku, azerbaijan","Azerbaijan Airlines","","Boeing 707-323C",6,2,4,0.33,0,"While attempting to land the cargo plane struck light posts and crashed into a field.",1995,11,"Nov",NA,40.395278,49.882222
"81","baku","18/08/1973","baku, azerbaijan, ussr","Aeroflot","","Antonov AN-24V",64,56,8,0.88,0,"Crashed after after attemping a return to the airport for an emergency landing.",1973,8,"Aug",NA,40.395278,49.882222
"82","baltimore","22/02/1974","baltimore, maryland","Delta Air Lines","Baltimore - Atlanta","MDonnell Dougals DC-9",15,1,14,0.07,0,"An out of work Pennsylvania salesman, Samuel Byck attempted to hijack Flight 523. His plans were to fly the plane into the White House and kill president Richard Nixon. He killed a security guard to get on board. He then shot and killed to copilot and seriously wounded the pilot. He was wounded  by a security guard and soon after killed himself. The plane never left the ground.",1974,2,"Feb",NA,4.104444,-75.579444
"83","bamako","24/07/1971","bamako, mali","Air Ivoire","","Douglas DC-3",6,6,0,1,0,"Crashed into high terrain during a right turn on takeat night.",1971,7,"Jul",NA,10.9333333,-3.3333333
"84","banga","29/03/1959","banga, central african republic","Union Aeromaritime de Transport","","Nord 2501 Noratlas",9,9,0,1,0,"Crashed while en route in the jungle.",1959,3,"Mar",NA,-8.683333,15.183333
